mfName,MFType,score_raw,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_0_100,rank
Insight Money,PU,0.6807162402697379,124,1.459791133828828,-0.027544259750167,0.002299672058659,-0.001442626228563,0.0148256522276069,0.0307638559770175,1.223871981726627,0.0005375048076566,100.0,1
Insight Money Syariah,PU,0.6453013937370637,123,1.541130426758129,0.0266884788230736,0.0023319745079706,-0.0014573441328703,0.0152437678301036,0.0316151609602379,0.8858947539928811,0.0005877127976653,98.0,2
Cipta Dana Cash,PU,0.5893031572393952,127,1.079949743144008,0.0740309849153298,0.0023695860536377,-0.0014322244261032,0.0148812060178988,0.0317936907591474,0.5661584681399309,0.0008109185204602,94.8,3
SAM Dana Kas,PU,0.5049629918451987,106,1.497527894647444,-0.0016507908543085,0.0023656302528454,-0.0014638369096273,0.0148720768599675,0.0316496766819285,-0.4569122659243,0.0010484762488699,90.0,4
Mega Dana Kas,PU,0.3904069229558605,233,0.9797477846289364,-0.0206708457919443,0.0021084585475582,-0.0013232605197715,0.0123495363969494,0.0275282566520176,0.7274009893247735,0.0007918141130862,83.5,5
Pinnacle Money Market Fund,PU,0.3857176430664895,111,1.692335011477537,0.1136506721028091,0.0022684466103937,-0.0013975921519005,0.0149195518276086,0.0302410083923123,0.5777029563048769,0.0005085655355686,83.2,6
Manulife Indonesia Money Market Fund Kelas A,PU,0.3810887472135803,213,1.490989598627116,-0.0060432355672908,0.0020725055807248,-0.0012819677620918,0.0134155320989153,0.0281085472435245,0.2224855954001923,0.0006265055238611,83.0,7
KISI Money Market Fund,PU,0.3686670835649569,72,0.4964985126294734,-0.0070523622557953,0.0020393865852279,-0.0012585885621699,0.0132813598235579,0.0270355374443098,0.2995173655832639,0.0004308290595716,82.3,8
Majoris Pasar Uang Indonesia,PU,0.3633428177474895,116,0.9711961769075576,-0.0296580894543453,0.0020723995945405,-0.0013089197300684,0.0134710268955802,0.0273228663733795,-0.0539801474968449,0.0004056189186204,82.0,9
Prospera Dana Lancar,PU,0.3290426259963313,112,1.035960230559168,0.0347119797637004,0.0019377060238994,-0.0011352895914207,0.0140030101158381,0.0289296109713805,-0.3532436686720961,0.0010707679587233,80.0,10
MNC Dana Lancar,PU,0.3137217378346674,257,2.696802079161964,0.0729760929371283,0.0022829479901706,-0.0014066605479242,0.0147266987094618,0.0295318562559112,0.3408108453515668,0.0005001140909515,79.1,11
BRI Seruni Pasar Uang III,PU,0.3031969251099619,191,1.528734888716826,0.0187965152943851,0.0022567311025603,-0.0013256103004427,0.0139472976971224,0.0276726978414318,-0.044317609512685,0.0006991650683902,78.5,12
Avrist Ada Kas Mutiara,PU,0.264567853202856,104,1.128925674363905,0.114202092566057,0.0022416181197937,-0.0013072597590323,0.0144348948517805,0.028901797113902,0.291374802778145,0.0006883397393913,76.3,13
Syailendra Dana Kas,PU,0.2507283158278598,126,1.054224519150383,0.0514354562670234,0.0020691325599726,-0.001270624088401,0.0138099750109999,0.0283673531531742,-0.2294167182258647,0.0005639072112122,75.5,14
PNM Dana Tunai,PU,0.2384912803885337,130,1.161862702546013,0.1393131066100325,0.0021757554771643,-0.0013537561657085,0.0137747505182246,0.0272184929019623,0.5096984845581749,0.0009485895640956,74.9,15
Demina Money Market Fund,PU,0.2312777516315201,100,3.236488801319075,0.0730695564967476,0.0022451587331633,-0.0013640773665431,0.015087934959405,0.0290080120649605,0.470349898018679,0.0008017358959316,74.4,16
Purwanto Likuid Plus,PU,0.2101195106390208,46,1.034161905719925,0.0330334211026105,0.0022368182240515,-0.0013880419249444,0.0141956472243622,0.0277218165128863,-0.6154477458235954,0.0008838723939178,73.2,17
Majoris Pasar Uang Syariah Indonesia,PU,0.2074728403397273,95,1.006588411107496,0.0065452880589467,0.001920545570666,-0.0012053792030376,0.0126358188861319,0.0264036786661281,-0.0188014811205269,0.0004545156570897,73.1,18
STAR Money Market Kelas Utama,PU,0.1992585128900557,98,1.507760415332141,0.0051469817440666,0.0018476256507786,-0.0011619403545895,0.0122576120793727,0.0262092796481683,0.2226564499196367,0.0005821638637752,72.6,19
PNM PUAS,PU,0.1847475581036387,258,1.309282822387926,0.045278851424785,0.0023955665338568,-0.0014966558675021,0.0137897052407383,0.0250913387888405,-1.012574110860795,0.0011615373556504,71.8,20
Capital Money Market Fund,PU,0.1731790347683634,120,2.269441291666358,0.1187258258919394,0.0020484142555105,-0.0013088993908754,0.0134205465435892,0.0284593057729152,1.017533545399557,0.0004745393723106,71.1,21
Capital Sharia Money Market,PU,0.1574907670348736,96,2.144806195876093,0.0675148160959798,0.0020714342064628,-0.0013464379700038,0.0129898086825412,0.0274562937912148,0.2655885033046905,0.0005097297042831,70.2,22
Syailendra Sharia Money Market Fund,PU,0.1510249574897457,98,1.147365452895381,0.1284381123063305,0.0020478363026981,-0.0012861736364676,0.0132792996652177,0.0284970738432075,-0.0030498301505161,0.0005791625227669,69.9,23
BRI Seruni Pasar Uang Syariah,PU,0.1291785036375361,89,1.073289004145195,0.0682845010636861,0.0018036916828437,-0.0011303711251055,0.0126045239905252,0.027543404637125,0.1826098515448453,0.0008771275246191,68.6,24
Sucorinvest Money Market Fund,PU,0.1202829469494233,134,3.677246668329648,0.0482009188712272,0.0020723255162195,-0.0012906830487113,0.0130382428538222,0.0277736973349536,-0.4064786868401342,0.0010972056180379,68.1,25
