mfName,MFType,score_raw,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_0_100,rank
Sucorinvest Saham Dinamis,SH,0.5697956571418578,122,3.814691061442931,-0.048577705395355,0.0326011657306837,0.0025615827346134,0.0721001650400001,0.1331750472219579,-1.715407603924187,0.0349911284674926,61.8,11
Principal Islamic Equity Growth Syariah,SH,0.5647412396814837,222,2.241154758877822,0.1076029033347843,0.00218041830981,-0.0004514302157862,0.0772061395365786,0.1862138727076701,-1.60066125283874,0.0361880944439703,61.7,12
Trim Syariah Saham,SH,0.5153358388606829,229,5.134374542251359,0.026171550428504,0.0187671186853031,0.0125137683157976,0.0921328298237247,0.215218629782262,-1.697073716919928,0.0525605080571694,60.4,13
Sucorinvest Sustainability Equity Fund,SH,0.4938859175536157,49,5.036402619231646,0.3050595306588177,0.0288781621879955,-0.0171095315320824,0.2032767569319465,0.2145311371493599,9.139806339349034,0.0453228047593829,59.9,14
Sucorinvest Sharia Equity Fund,SH,0.4693370828899546,146,3.456554499417228,-0.0125690194064917,0.0114839320256306,-0.0042193361024927,0.1728969009987129,0.145595286543295,-13.6007937932078,0.0320095561291827,59.3,15
SAM Dana Saham Nusantara Kelas S,SH,0.3891195432828776,37,3.689496213697561,0.457920571221937,0.0055635848514931,0.0022979149070198,0.2070689114343611,0.2123674378579115,-0.7424657682187052,0.0517588572535834,57.4,16
Mandiri Investa Atraktif Syariah,SH,0.3711540410451037,216,3.694441775223418,0.1879693381231924,0.0096585519619139,0.0062531223173305,0.1006032434743103,0.1453204043429117,-4.323462621192331,0.037999805649409,56.9,17
HPAM Ultima Ekuitas 1,SH,0.3661087617365447,194,6.636051566437776,0.2465399115811883,0.0058672615210141,-0.0001575661647726,0.0202420620273797,0.2137079800461388,13.15964207295258,0.0516802871529014,56.8,18
Mandiri Investa Ekuitas Dinamis,SH,0.3576742856072638,178,3.021764624308184,0.0072026206585057,0.0039930086918678,0.0032875269678866,0.066701426105332,0.1104803582507849,-4.50111719417564,0.0394234407747854,56.6,19
Manulife Syariah Sektoral Amanah Kelas A,SH,0.3504052679700803,204,3.099683232558521,0.1934659729934836,0.0084462981098697,-0.0031831148106712,0.1250438318971188,0.147786796944366,-14.36894456807599,0.0361421785093152,56.4,20
Syailendra Equity Opportunity Fund Kelas A,SH,0.3500110979483519,224,8.85282430159726,0.4352084905719996,0.0043511913270326,-0.0016530651989081,0.1960079112308319,0.20132270461343,8.826021610742481,0.0434171525629331,56.4,21
Manulife Saham Andalan,SH,0.3052134046000138,219,3.826123928799832,0.3465972230585346,0.0255334432080586,-0.015146738159171,0.1878706614329575,0.2680750994693344,-13.1132691978034,0.0440432187524773,55.3,22
BRI Mawar Fokus 10,SH,0.260231971204263,191,3.164479748218999,0.0519768686500742,0.0059782061391842,-0.0003722142625531,0.0849353910579155,0.1109635208408741,-9.478642880802877,0.0443802225513118,54.2,23
BNP Paribas Pesona Syariah,SH,0.2503020214932238,225,2.551074915164933,0.2160167511698906,0.0229911543208298,-0.012138523245954,0.1029089481437855,0.1295800159015654,-4.038530922408166,0.0331920295433818,54.0,24
BMI Indo Saham Andalan,SH,0.2273997981208778,55,5.011952840292053,0.4014309201231059,0.0076975551653283,-0.0043582939046832,0.0723498567423452,0.1785483696073737,1.05075957869111,0.0399653790970464,53.4,25
Manulife Dana Saham Utama Kelas I,SH,0.2222278268751491,121,6.984318992180271,0.4272884722936554,0.0493710081710754,0.0105421361559718,0.1869139068800001,0.1996465517786103,-9.8647295638156,0.0426060718342216,53.3,26
Manulife Institutional Equity Fund Kelas I,SH,0.196651946782035,174,2.438027772028243,0.3847485999914919,0.0186337577618079,-0.0116621999783267,0.162499101462227,0.1672194917393746,-13.40622724464702,0.042382603439514,52.7,27
Manulife Saham SMC Plus,SH,0.1921623116119236,154,2.962758192314253,-0.0125699788063555,0.0168033373305356,-0.0051171594857399,0.0564490464967428,0.0778129572008361,-5.017899357284966,0.0421772682159609,52.5,28
PNM Saham Unggulan,SH,0.162144678003976,118,5.87120770316692,0.4890318735646493,0.0114011885183097,-0.0052818875763563,0.1049872767280269,0.2249813427431577,-2.628223009696098,0.0434401157046677,51.8,29
Panin Dana Syariah Saham,SH,0.1601624467809164,162,3.724440551370968,0.1945098978970952,0.018488654875614,-0.0066173192300927,0.063815260935423,0.1138972286352207,-4.392975258449514,0.0362264221389209,51.8,30
Bahana Stellar Equity Fund Kelas I,SH,0.1505343514009853,98,7.821916858119132,0.4886164002308451,0.043142128608824,0.0186979093720583,0.13457900528,0.1452598289251659,-4.034636619271349,0.0384467930629512,51.5,31
Cipta Saham Unggulan,SH,0.1461559497917228,84,4.091194966856198,0.144504227162386,0.0291608445671488,-0.0151794883164796,0.0814828376358931,0.1083392504606895,-0.3648452931435391,0.0369080495884759,51.4,32
HPAM Smart Beta Ekuitas,SH,0.1392576482659723,96,6.90547027983543,0.2759363522857476,0.0417849342886239,0.0395638200237858,-0.0172847234569998,0.1138879862221818,-0.3332551274377706,0.0602602769581703,51.2,33
BNP Paribas Solaris,SH,0.1247760829573384,213,2.443191187105212,-0.0232518900668176,0.0054637266637631,0.004476372662626,0.0075282170407313,0.065991082789889,-12.78900154552453,0.0424293170512713,50.9,34
Tram Consumption Plus Kelas A,SH,0.1144178724754414,176,8.316772183031505,0.3988052227519986,0.0114233133537355,-0.0065444430364615,0.1452593910272439,0.1744080191555444,0.3750959159034261,0.0407415747191591,50.6,35
Panin Dana Berkembang,SH,0.0952791054431677,98,2.270800198775922,0.5596266018740657,0.0491638793028248,0.0057619690163116,0.1243328303110001,0.1140991436429963,-5.073209505702699,0.0401310923278767,50.2,36
Recapital Equity,SH,0.0917801449818523,113,3.389245585288792,0.1148472648244594,0.0091451743085477,-0.0047702867093434,0.0688774274436436,0.0301607354771058,0.2931807953476491,0.035560588460903,50.1,37
Eastspring Investments Value Discovery Kelas C,SH,0.0869569175176147,41,2.855439480098255,0.4746868177544477,0.0423731454103417,0.0152988333868133,0.1199935673329999,0.1046536806233394,-5.315475062602449,0.0407358489215424,50.0,38
Panin Dana Berdedikasi,SH,0.0737627359420992,101,2.159244967431196,0.5368751507663918,0.0535452151701898,0.0070429552430409,0.1234789148659998,0.1106722143369954,-5.49591903546768,0.0415248645153223,49.6,39
Prospera Bijak,SH,0.0716262030261686,175,5.893168627473749,0.4909359990117874,0.0331207741230826,-0.0198257655965825,0.1315186729227968,0.1745819345477355,1.951676917519964,0.038182229424077,49.6,40
Schroder Dana Istimewa,SH,0.0713878496957261,254,3.640309612186847,0.3132452273755439,0.0047058599679174,-0.0024309086816298,0.0970658202714414,0.1387389513250186,-35.88070763347244,0.0374198295343228,49.6,41
Schroder Dana Prestasi Prima,SH,0.0700785315264575,120,2.804308785819508,0.2868117768937002,0.0240484223771222,-0.0142297794038389,0.1327372882155751,0.1076290363555716,-4.829740809378649,0.036256670596004,49.6,42
Manulife Dana Ekuitas Utama Kelas I,SH,0.042811812307339,94,3.363626031401277,0.4054035789564853,0.0513456026314471,0.0028826444236358,0.1271858911850001,0.0983708437403907,-5.763005205185173,0.041993796499536,48.9,43
HPAM Syariah Ekuitas,SH,0.0324619782665775,136,2.951732575711095,-0.0163522348488079,0.0244666025402149,0.0133396312461623,-0.0829835062147278,0.0092308660672393,7.80970361106546,0.0513918718645242,48.6,44
Ashmore Dana Progresif Nusantara,SH,0.0311559225630593,155,4.769380642995288,0.3709875087437085,0.0250209827449587,-0.013035472296817,0.1175777447255537,0.1345059068089494,-6.649404532076725,0.0396248715742849,48.6,45
Prospera Saham SMC,SH,0.0271948871315269,104,8.296830152617346,0.397360207690562,0.0275560550693835,-0.0156693302321285,0.1228932067169057,0.1660143872811801,2.517629879207675,0.037215520497598,48.5,46
Bahana Dana Ekuitas Andalan Kelas S,SH,0.0126862021175916,38,6.162405693613173,0.5131771341978907,0.0168628781780268,-0.0106085230172964,0.1116096917448997,0.1556602915971588,-2.950687997706715,0.0383742846399483,48.2,47
