feature,weight
value_added,0.2858152222222222
flows_ann_36m_avg,0.1528872222222222
ret_6m,0.1370362222222222
crowding_score,0.1079382222222222
cost_of_uniqueness,0.0892662222222222
ret_3m,0.0865542222222222
vol_ret_36m,0.0661442222222222
flow_vol_ann_36m_std,0.0403382222222222
age_months,0.0340212222222222
