MFType,top10%minus90%_alpha,outofsample_oct24-oct25
CP,0.1595231290213388,0.1595231290213388
PT,0.0341611000899926,0.0341611000899926
PU,0.0081350544860914,0.0587685018516391
SH,0.1698071931045186,0.2409146620835313
