MFType,top10%minus90%_alpha,outofsample_oct24-oct25
CP,0.1595231290213388,0.1595231290213388
PT,0.03416110008999264,0.03416110008999264
PU,0.00813505448609144,0.0587685018516391
SH,0.16980719310451867,0.24091466208353135
