mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m
PNM Dana Kas Platinum 2,PU,66,1.051386833391547,0.04887528715361981,0.001754958882518799,-0.001100937076000295,0.01145140430536751,0.01950860189984027,-0.1975454887500456,0.001034930113429182
Mandiri Investa Pasar Uang Kelas A,PU,257,1.566398911367912,0.04238952854603732,0.001648269947753212,-0.001032399712528891,0.0104491822975874,0.02237442469669704,-1.321169988748365,0.0004966275495941329
Sequis Liquid Prima,PU,111,1.651998277442623,0.09200873845820455,0.001659002946074646,-0.001030426303420232,0.01100300042437485,0.02287886977138975,-0.6329742105330799,0.0005028498182186603
UOBAM Dana Rupiah,PU,56,2.634093875670223,0.1458163200704051,0.001764351145937703,-0.001123544241210087,0.0125103666121491,0.02582710555872136,-0.5714574643200743,0.001159185526874057
Eastspring Syariah Money Market Khazanah Kelas B,PU,72,0.7492977579618871,-0.0009372002393587402,0.001440777964421947,-0.0009250572800364283,0.00988325497501541,0.02191986228421117,-0.8870331614497282,0.0009871812216030622
Bahana Likuid Plus,PU,100,4.769791705390871,0.1613889563606821,0.002000440202129097,-0.001249762589417058,0.01302209070630056,0.02646414322796309,0.01753735597952269,0.0005251403281844904
Maybank Syariah Money Market Fund 2,PU,110,1.112466535663852,0.1010965562184204,0.00159287281329232,-0.0009939858189993275,0.01035647032460307,0.02233061766823963,-1.050431644545488,0.0004594051044557515
Mandiri Pasar Uang Syariah Kelas A,PU,98,1.527937977019516,0.01828475856985572,0.001337434624339266,-0.000839373016829214,0.009304583811652556,0.02115332687407956,-0.9217623050623786,0.0004486780335360511
Simpan Cash Fund,PU,36,2.248753924502297,0.1106185615917724,0.001627144072461535,-0.001032513466254975,0.01049449733294217,0.02317515524605351,-0.6298679573033706,0.0006509499157824224
BNP Paribas Rupiah Plus,PU,268,2.123457239866825,0.05813973436760526,0.001316626571230598,-0.0008242276383856133,0.009021943000470323,0.01952671115233451,-3.300577443063441,0.0006059668307754146
Jarvis Money Market Fund,PU,81,1.061852963096261,0.05825002636514212,0.001306616308108045,-0.0008225078084130325,0.00865580627507434,0.01799534130497005,-1.644536699801167,0.0009103642751624557
Phillip Money Market Fund,PU,186,1.138927997399617,0.121981369952109,0.00131877846897377,-0.0008383806168235634,0.008291810878904515,0.01774556094230073,-1.774673143108933,0.0003060521223375221
Batavia Dana Likuid,PU,144,2.111346079248987,0.05273700997829463,0.001008465296397925,-0.0006307506451059722,0.006772172784853536,0.01605151473383115,-1.969555281155246,0.0004952271628829974
