mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m
Manulife Dana Tetap Pemerintah,PT,220,2.49107258615055,-0.003583763034077321,0.009915276856073114,-0.006421449866743326,0.04006491781513355,0.07553281090525799,4.274736848635877,0.01169146391176058
SAM Dana Obligasi Prima,PT,89,1.547948324345649,0.03097540375963001,0.01063211415071516,-0.006953488875363444,0.04434025720087598,0.07183717515249577,2.53866551816542,0.0083786757657342
BNP Paribas Proxima,PT,135,2.257279063403143,0.1139775172571092,0.00886952863024053,-0.005901156235624226,0.04010125098244788,0.08007350784604617,5.306609059898499,0.0102453544744505
Panin Dana Obligasi Bersama Tiga,PT,78,0.2779450703443547,0.1005417016741212,0.005652368233293422,-0.003831110331047206,0.02784560317244034,0.06947069418978269,4.040663270000415,0.009746484601256994
Allianz Fixed Income Fund 2,PT,113,2.254034074495524,0.1127019672727793,0.01015134418810453,-0.006629339465878234,0.04375923261767811,0.08288041415421477,3.14105092771092,0.01168299428959181
Majoris Sukuk Negara Indonesia,PT,97,1.568372945396098,0.0435948258332333,0.009101821074822944,-0.005927122907673671,0.04552810948657648,0.0717651113004878,1.680676851801711,0.00659205512785885
Sucorinvest Bond Fund,PT,108,2.19462072116764,0.08868079996259799,0.01037707943167569,-0.005155620336090947,0.04416934600069067,0.09582923666977705,-4.241071673248213,0.01183461569175056
Simas Danamas Instrumen Negara,PT,220,2.215730150309553,0.09736300707891424,0.008775542004988477,-0.005722241328529372,0.03730483345375246,0.07640208475653831,4.266886456647962,0.0103197966686626
Eastspring IDR Fixed Income Fund Kelas B,PT,72,1.156276221350671,0.1351547480308132,0.008204528188735447,-0.005454155796663218,0.0375240012836664,0.07800999710719503,3.134461354525745,0.01065878191866606
Avrist Prime Bond Fund,PT,139,2.145365397440566,0.06775787360697966,0.009082515004827844,-0.005937520295296643,0.03962656479596816,0.07630057012583147,2.481145559197837,0.01117178448209084
Capital Fixed Income Fund,PT,120,2.024232830063431,0.01197136500482121,0.003021886281835705,-0.001900615103659303,0.02490923914613008,0.0552470726478711,4.331450532867504,0.003429641084812654
KISI Fixed Income Fund,PT,72,2.139933731450833,0.06539161909278413,0.00833662700451267,-0.005268967701519769,0.03602401538668842,0.07526189906730041,2.252377909258497,0.01013880236419266
