mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m
Schroder Dana Terpadu II,CP,237,1.595598897123202,0.05991411581918405,0.02116769331281882,-0.01251247985047087,0.09787312727217623,0.09222155861608794,-5.009127449264413,0.02140778384389993
Mega Dana Kombinasi,CP,295,3.139043238305743,0.04429478275705113,0.01669530611580635,-0.006676621287336582,0.03980388241925259,0.06357608529658965,-1.080228946154997,0.01911666900518938
Sucorinvest Flexi Fund,CP,230,2.981397848885068,-0.006239405828339353,0.01981644616669414,-0.01098378819766565,0.1803963049148627,0.1854612572267229,-24.6418325332765,0.02804599621351914
Panin Dana Bersama,CP,203,0.7444560090368787,-0.00744703635382533,0.008126303240811112,-0.001034330673479441,0.1295109674589072,0.1542903243722518,-21.78286273665137,0.04123582372619441
Prospera Balance Return Optimiser,CP,84,5.575407040457367,0.1032044900546248,0.02284444057043326,-0.01372797598793346,0.1011498357465568,0.1392780198036589,2.744729278800099,0.030036093653541
Schroder Dana Kombinasi,CP,254,1.48572095020759,-0.00961085578716172,0.02148495611615793,-0.01586350421586814,0.05119081684999993,0.06239986652689899,-7.395500162123605,0.009447018902051286
KISI Balanced Fund,CP,37,3.07431943626809,0.02417427265082989,0.01592439964293495,-0.008501036716653657,0.0551816304122219,0.07262776725007569,-1.982891612221208,0.02037812390846055
Insight Tunas Bangsa Balanced Fund 2,CP,85,3.35341744837,0.105390233638161,0.01746842567469556,-0.002826275407608899,0.06029904081499993,0.08244897392264816,0.6298987056899662,0.01221537932540337
Insight Fellowship,CP,124,1.62927879746734,0.01797040353857962,0.0347013294834002,-0.01594751413406331,0.041640553528,0.0471802396856027,-1.695904342395895,0.01232887789536137
BRI Balanced Regular Income Fund Kelas A,CP,77,1.965504243473179,-0.01755058868042165,0.004491864083852087,-0.05541219393175348,0.02602038812000007,0.05396337034815568,0.6704779491117265,0.007047097792821332
Manulife Dana Campuran II,CP,204,2.505209736074969,0.002079560844726507,0.01189268848963937,-0.00675818202188771,0.04183378503801438,0.06232536965110413,-7.352956546383777,0.01980548215944903
Recapital Balance Fund,CP,103,3.146204696728901,0.04647017941359943,0.004296548742525189,-0.002780509619296735,0.01901203157379716,0.04100429657317184,-0.8073304536998829,0.009237617257670201
Panin Dana Berimbang,CP,70,1.47947078840776,-0.0138760506480391,0.01733487832081743,-0.05472608962190879,0.02428903037499985,0.04937058559574026,-0.1112472731573529,0.01143055602808154
Insight Benefit Balanced Fund,CP,74,3.281268989259344,0.08571957684055408,0.01612724461080481,-0.005210509595399392,0.04546371785599979,0.05578304998273009,-0.5824196489999708,0.01076576105582467
Panin Dana Unggulan,CP,248,2.074628513539816,0.03597198874534022,0.00729197074099301,-0.005178574857008858,0.08219126784280717,0.1191483052709255,-24.16409328370104,0.0281232415207586
Schroder Dynamic Balanced Fund,CP,139,2.833539956174016,0.1177114003447396,0.02538316271247696,-0.01526059882340047,0.1291080959893685,0.09999612423471294,-2.32531447849466,0.02821358077148674
MAM Balanced Fund,CP,99,3.244133427175343,0.07525381820929274,0.01917499602593864,-0.01012837155258284,0.05862733173742152,0.06017684968771775,-0.4830616111557388,0.02173697814981913
BNP Paribas Equitra Campuran Harmoni,CP,245,2.532109998176222,0.01268112293674049,0.004143073280344541,-0.002415377055874022,0.01834715870747461,0.02848038600226199,-10.28000922554847,0.004024901910960954
Sequis Balance Ultima,CP,111,2.787323992337155,0.1030823804936419,0.02520933898616019,-0.01541642290015639,0.08776640419096271,0.08179302332221727,-1.239159182583666,0.02358558338334119
BNI-AM UGM Progressive Balanced,CP,115,3.034098131870504,0.01453418114835891,0.01557754724534612,0.007193408002845075,0.003179913632000098,0.02034841948272814,-3.669197972632768,0.01523906295290297
Purwanto Campuran Dinamis,CP,47,3.078438402764869,0.02547993251851989,0.0295690446109208,-0.0148343277803621,0.08555381929329187,0.0750515899091273,-4.738903868354955,0.03307302596501475
SAM Cipta Sejahtera Campuran,CP,89,3.025763518857413,0.00851471659858651,0.07729101722530284,-0.07158653049132394,0.08421885800000006,0.1305101364990753,0.7556923080898865,0.03594895179168142
HPAM PREMIUM 2,CP,134,3.107427653072996,0.03457124833357201,0.03640315621595945,-0.0301098203875885,0.02736351661999992,0.02633100296089186,0.8519086916363618,0.01475250072963149
Panin Dana Berimbang Dua,CP,69,2.659498229781435,0.05997305356151449,0.03801427531093791,-0.04329205876072821,0.06994297742399969,0.0782120982904535,-3.37314389179591,0.02397502718604149
Panin Dana Bersama Plus,CP,169,2.278562586778218,0.1222536472750977,0.0376828379486687,-0.004956739719505289,0.06305573192000025,0.03531971038302739,-6.160624264373001,0.02966760565662193
Simas Satu,CP,303,4.921374877300044,-0.01597625148667615,0.0385413622780541,0.02360341491198429,0.01202510848474558,0.06020079218393537,-27.36889497300145,0.0312513661521825
SAM Dana Berkembang,CP,341,2.62083036250465,0.04610384717505184,0.01325599754253676,0.007768171636257969,0.0528030936160484,0.08500936684410454,-66.64693739538076,0.03481572121285768
