mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m,score_raw,score_0_100
Demina Mitra Maxima Ekuitas,SH,95,2.861015677153798,-0.04857866524676555,0.05240022663989279,-0.03117762485573519,0.4480815994670897,0.8326335463175736,1.954369554094363,0.08058925681648715,2.132774126130454,100.0
Bahana Icon Syariah Kelas G,SH,131,4.471727003886336,0.105491011297506,0.003044349503629644,0.002094116185762574,0.2107837561471793,0.3993518824408688,12.90037511115018,0.05167031810153187,1.106255354412226,74.89622355407253
Simas Syariah Unggulan,SH,137,3.052771750270107,0.01728650373728011,0.02956496164686808,0.02005657206491344,0.04992569959023907,0.2893099003831239,1.429427788821781,0.04579515142348122,0.9326857593934175,70.65153516530688
Sucorinvest Maxi Fund,SH,135,4.331923977866025,0.1920449163274199,0.03146473521463809,-0.01247834501121473,0.2542396004031848,0.3657640858965221,7.296111199706845,0.05691721711918861,0.8445523790329086,68.49621103587984
Jasa Capital Saham Progresif,SH,103,2.387288326674059,-0.04721326371287937,0.02579078422927131,0.01584076173484813,0.04064485263107054,0.2168173076722981,-2.263825349880376,0.05856116066801244,0.6666176302715405,64.14477170721477
SAM Indonesian Equity Fund,SH,171,4.156710194915664,0.2782754006595191,0.04214560846635679,0.01641636868653462,0.1249179983599999,0.2408605146412468,13.32676389206751,0.05200643450726775,0.6458568004195296,63.63706035716859
HPAM Ekuitas Syariah Berkah,SH,70,5.247275869724294,0.0471246177756778,0.03035023576788308,0.01695729256554239,0.01731043740944305,0.2290971858407289,28.80426179933045,0.06068250117309573,0.6288710574693849,63.22166971304555
Bahana Dana Ekuitas Prima,SH,240,5.444058306114108,0.2652540117897556,0.008002552909491503,-0.006350263398818667,0.2425040592155359,0.3348213581069202,-1.102901288211073,0.05349967087169937,0.6171348122918427,62.93465686596584
Simas Danamas Saham,SH,220,2.521917741384128,0.00869090257166726,0.0298924847500068,0.01734423670657499,0.05181527515525075,0.164164577108169,5.230130072179079,0.04099723809241727,0.6131677370594656,62.8376410368144
Bahana Explorer Equity Fund Kelas I,SH,94,5.445869116183435,0.2654983227354401,0.04639679133077446,0.03532633232966059,0.1879537254199999,0.2421204505938779,-1.995094978603791,0.05619475318670139,0.5775118535586347,61.96566737880846
